property_id,image,address_suburb,address_street,bedrooms,bathrooms,garage,price,date_created
CTR6128827,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/115854307-image-M.jpg,"CAIRNS CITY","37/62 Abbott Street",1,1,0,"$185,000 Negotiable",2016-05-20-09:31
CTR6298160,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/116425947-image-M.jpg,EDMONTON,"10/27 Stokes Street",2,1,0,"$159,000",2016-04-19-12:14
CTR7289709,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/118392283-image-M.jpg,"HOLLOWAYS BEACH","41/129 Oleander Street",1,1,0,"$120,000's Range",2016-04-05-14:50
CSS9740636,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/15491-01.jpg,"BENTLEY PARK","204 Timberlea Drive",4,2,2,"$340's Range",2016-06-10-08:47
CSS9725913,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/12349-15.jpg,EDMONTON,"22 Tin Sang Close",4,2,4,"Asking $549,000",2016-06-16-08:47
CSS9539815,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1418257145-21379-1.jpg,EDMONTON,"51 Plantation Road",4,2,0,"$695,000 Neg",2016-06-24-08:25
CSS9540528,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/19212-01.jpg,"MOUNT SHERIDAN","32 Cintra Street",3,1,1,"$349,000",2016-06-24-09:49
CTR6646508,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/117162111-image-M.jpg,GORDONVALE,"132 Dempsey Street",4,3,2,"All Offers around $745,000 Considered",2016-06-24-13:24
CSS9811581,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/14043-04.jpg,EDMONTON,"23 Noble Close",4,2,1,"$343,000 Negotiable",2016-07-01-06:50
CSS9968393,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/3279-001Open2viewID417873-29-31WindlassStreetGoldsboroughLR.jpg,GOLDSBOROUGH,"29-31 Windlass Street",4,2,4,"High $800's Range",2016-07-01-09:15
CSS9986064,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/31271-image19.jpg,"LITTLE MULGRAVE","54 Gallet Road",4,2,2,"Low to Mid $700's Range",2016-07-06-07:28
CSS9986305,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/25847-03.jpg,"BENTLEY PARK","16 Surtees Close",4,2,2,"$485,000",2016-07-06-08:04
CSS9540836,http://mydesktop.aunz.s3-website-ap-southeast-2.amazonaws.com/rwcairso/photos/1439874542-2589-23.jpg,EDMONTON,"179-181 Wiseman Road West",5,2,2,"Mid $600's Range",2016-07-08-09:29
